iter	MultiClass
0	1.341840997
1	1.305384841
2	1.27511892
3	1.247382326
4	1.225482578
5	1.199830009
6	1.178366774
7	1.156663509
8	1.140430735
9	1.122084228
10	1.10747415
11	1.090210902
12	1.074532314
13	1.060382452
14	1.047477472
15	1.036375431
16	1.025029824
17	1.012402873
18	1.000881774
19	0.989543904
20	0.980225167
21	0.9720548416
22	0.9625126098
23	0.9538491809
24	0.9457742395
25	0.9397501475
26	0.930515019
27	0.9238866302
28	0.9194326874
29	0.9127055843
30	0.9056121799
31	0.8986395332
32	0.8924359621
33	0.888614706
34	0.88178196
35	0.8760706289
36	0.8711743992
37	0.8666657686
38	0.8608756254
39	0.8562908325
40	0.8508182373
41	0.8463048422
42	0.8400346903
43	0.8348825722
44	0.8302027527
45	0.8263366054
46	0.8216705907
47	0.8180712913
48	0.8129484073
49	0.8098588157
50	0.8058937514
51	0.8018933375
52	0.7988848138
53	0.795409161
54	0.7917845335
55	0.787408899
56	0.7835657522
57	0.7794609566
58	0.7757460809
59	0.7724065997
60	0.7685959549
61	0.7652194299
62	0.7612404333
63	0.7577589872
64	0.7540305329
65	0.7510330471
66	0.7476147308
67	0.7446023513
68	0.7406422261
69	0.7364436464
70	0.7327114329
71	0.7297079448
72	0.7262858988
73	0.7223035212
74	0.7189127897
75	0.7151037544
76	0.7116751062
77	0.7085033691
78	0.7052000208
79	0.7031862685
80	0.7001659214
81	0.6965534212
82	0.6942699685
83	0.6913135485
84	0.6881677091
85	0.6852922084
86	0.68287275
87	0.6809191033
88	0.6783492278
89	0.6754342718
90	0.6728545541
91	0.6703231766
92	0.6677603143
93	0.6654416454
94	0.662676019
95	0.6601254857
96	0.6574700918
97	0.6547714514
98	0.6521270103
99	0.649766698
