accuracy,precision,recall,f1,f2,f0,specificity,mcc,kappa,model
0.6382,0.6173,0.6382,0.6242,0.6317,0.6192,0.8794,0.5197,0.5176,DenseNet121 (Optimized)
0.6431,0.6236,0.6431,0.6302,0.6371,0.6256,0.8810,0.5261,0.5241,DenseNet121 + Gradient Boosting
0.6475,0.6262,0.6475,0.6346,0.6418,0.6290,0.8825,0.5315,0.5299,DenseNet121 + XGBoost
0.6519,0.6310,0.6519,0.6385,0.6458,0.6333,0.8840,0.5379,0.5358,DenseNet121 + LightGBM
0.5898,0.5637,0.5898,0.5745,0.5832,0.5674,0.8633,0.4548,0.4531,DenseNet121 + CatBoost
0.5083,0.5285,0.5083,0.5147,0.5100,0.5220,0.8361,0.3457,0.3444,DenseNet121 + AdaBoost
