class,accuracy,precision,recall,specificity,f0,f1,f2,kappa,mcc
Mild Impairment,0.8965,0.7435,0.8945,0.8971,0.7695,0.8121,0.8596,0.7415,0.7475
Moderate Impairment,0.9897,0.9804,0.9785,0.9935,0.9800,0.9795,0.9789,0.9726,0.9726
No Impairment,0.7300,0.4608,0.4707,0.8164,0.4627,0.4657,0.4687,0.2851,0.2851
Very Mild Impairment,0.6875,0.3392,0.2637,0.8288,0.3208,0.2967,0.2760,0.0999,0.1012
