Metric,Value
Accuracy,0.62158203125
Precision,0.6138088793661011
Recall,0.62158203125
F1,0.6130839637720606
F2,0.6169958449864634
F0,0.6138088793661011
MCC,0.49977314018687036
Kappa,0.49544270833333337
