iter	MultiClass
0	1.350698
1	1.313873011
2	1.281506454
3	1.251535351
4	1.226234095
5	1.20247085
6	1.177478791
7	1.15618317
8	1.140174631
9	1.121569486
10	1.102696635
11	1.088653854
12	1.073153165
13	1.055528405
14	1.039266373
15	1.028339257
16	1.016602599
17	1.00494854
18	0.9921636439
19	0.980498284
20	0.9681603286
21	0.9573313697
22	0.9475453679
23	0.9400309304
24	0.9299174992
25	0.9213368162
26	0.9128907816
27	0.9043331961
28	0.8960616147
29	0.8900079664
30	0.8827607778
31	0.8766287839
32	0.870752533
33	0.8651601252
34	0.8591974522
35	0.8519080857
36	0.8457498297
37	0.8395458269
38	0.8335598774
39	0.8271233308
40	0.8218636302
41	0.817086101
42	0.8112018658
43	0.8062149753
44	0.8004781161
45	0.7965928782
46	0.7920995339
47	0.7879559903
48	0.7833203326
49	0.7792107806
50	0.7748136234
51	0.7709438731
52	0.7667960375
53	0.7626139252
54	0.7582925617
55	0.7533649493
56	0.7499376485
57	0.7442909236
58	0.7399005733
59	0.7366889453
60	0.733298345
61	0.7292515146
62	0.7248492788
63	0.722004321
64	0.7192967106
65	0.7155248527
66	0.7119610259
67	0.709291659
68	0.7058724505
69	0.7035029744
70	0.7004114522
71	0.6969907135
72	0.6937630868
73	0.6909548499
74	0.6878376296
75	0.6852947097
76	0.682656583
77	0.6795319409
78	0.6766650476
79	0.6736934114
80	0.669782161
81	0.6670477502
82	0.6643578482
83	0.6613598316
84	0.6583400428
85	0.655870007
86	0.6535879122
87	0.6508595155
88	0.6483805461
89	0.646062714
90	0.6422979508
91	0.6395121718
92	0.6376142919
93	0.6354009875
94	0.6329797645
95	0.6302390181
96	0.6279984014
97	0.6244234495
98	0.6221017647
99	0.6194939061
