iter	Passed	Remaining
0	888	87974
1	1575	77202
2	2370	76647
3	2980	71540
4	3685	70017
5	4416	69195
6	5098	67731
7	5782	66502
8	6549	66222
9	7579	68213
10	8471	68542
11	9122	66901
12	9885	66153
13	10406	63926
14	11013	62410
15	11568	60732
16	12216	59647
17	12788	58260
18	13368	56990
19	13906	55627
20	14648	55106
21	15209	53924
22	15721	52634
23	16290	51588
24	17069	51208
25	17684	50333
26	18682	50512
27	19470	50067
28	20177	49398
29	20845	48638
30	21590	48056
31	22769	48385
32	23587	47889
33	24338	47244
34	25015	46458
35	25632	45569
36	26271	44732
37	26890	43874
38	27487	42993
39	28068	42102
40	28634	41205
41	29277	40430
42	29899	39634
43	30572	38910
44	31251	38196
45	31954	37512
46	32665	36835
47	33247	36018
48	34193	35588
49	34945	34945
50	35946	34536
51	36933	34092
52	37823	33541
53	39009	33230
54	39850	32604
55	40507	31827
56	41589	31374
57	42515	30787
58	43536	30254
59	44847	29898
60	45575	29138
61	46323	28391
62	46908	27549
63	47574	26760
64	48264	25988
65	48896	25189
66	49647	24453
67	50264	23653
68	50917	22876
69	51626	22125
70	52524	21453
71	53354	20748
72	54136	20023
73	55020	19331
74	55709	18569
75	56347	17793
76	57001	17026
77	57810	16305
78	58474	15543
79	59401	14850
80	60200	14121
81	60820	13350
82	61384	12572
83	62099	11828
84	62804	11083
85	63478	10333
86	64155	9586
87	64878	8847
88	65548	8101
89	66211	7356
90	67072	6633
91	67797	5895
92	68754	5175
93	69394	4429
94	70008	3684
95	70679	2944
96	71318	2205
97	72057	1470
98	72830	735
99	73447	0
