iter	Passed	Remaining
0	888	87932
1	1368	67066
2	2159	69807
3	2710	65049
4	3412	64836
5	4053	63500
6	4571	60735
7	5039	57958
8	5564	56265
9	6107	54964
10	6635	53687
11	7167	52561
12	7699	51529
13	8228	50544
14	8734	49497
15	9252	48578
16	9771	47707
17	10309	46967
18	10975	46788
19	11437	45751
20	11967	45022
21	12446	44127
22	12922	43262
23	13419	42495
24	13866	41598
25	14276	40633
26	14618	39523
27	14924	38377
28	15307	37476
29	15604	36411
30	15949	35501
31	16319	34679
32	16692	33891
33	17301	33584
34	17799	33056
35	18317	32564
36	18973	32307
37	19493	31805
38	20009	31296
39	20442	30664
40	21026	30257
41	21458	29633
42	21894	29023
43	22384	28489
44	22845	27922
45	23301	27353
46	24059	27130
47	24444	26481
48	24812	25825
49	25136	25136
50	25474	24475
51	25853	23864
52	26202	23236
53	26552	22618
54	26981	22076
55	27402	21530
56	27727	20916
57	28049	20311
58	28396	19733
59	28774	19182
60	29154	18639
61	29432	18039
62	29891	17555
63	30411	17106
64	31033	16710
65	31496	16225
66	32211	15865
67	32643	15361
68	33291	14957
69	33898	14527
70	34389	14046
71	34921	13580
72	35332	13068
73	35832	12589
74	36314	12104
75	36829	11630
76	37308	11144
77	37766	10652
78	38208	10156
79	38703	9675
80	39217	9199
81	39630	8699
82	40083	8209
83	40571	7727
84	41108	7254
85	41604	6772
86	42088	6289
87	42540	5800
88	42973	5311
89	43426	4825
90	43913	4343
91	44427	3863
92	44840	3375
93	45268	2889
94	45728	2406
95	46153	1923
96	46495	1438
97	46905	957
98	47401	478
99	47960	0
