number,value,datetime_start,datetime_complete,duration,params_aug_height_shift,params_aug_rotation,params_aug_width_shift,params_aug_zoom,params_dense_neurons,params_dropout_rate,params_learning_rate,params_optimizer,state
0,0.4931640625,2025-05-14 19:16:33.694580,2025-05-14 20:13:54.010934,0 days 00:57:20.316354,0.058370932010839253,19,0.13420670906493784,0.0695385584579906,2048,0.6712432389170807,5.6892851389338936e-05,sgd,COMPLETE
1,0.6064453125,2025-05-14 20:13:54.012991,2025-05-14 20:45:12.016894,0 days 00:31:18.003903,0.18457143598544318,11,0.18492277273859695,0.08441031794834734,1024,0.5800551680033272,8.672444747967859e-05,adam,COMPLETE
2,0.61083984375,2025-05-14 20:45:12.018494,2025-05-14 21:43:49.749733,0 days 00:58:37.731239,0.0878104536918652,8,0.10973271356318708,0.10686029876338381,512,0.5959711949850216,3.0800271554674794e-05,adam,COMPLETE
3,0.63720703125,2025-05-14 21:43:49.751555,2025-05-14 22:38:06.234730,0 days 00:54:16.483175,0.06389873031771082,12,0.13028691608131146,0.07184991803749687,512,0.5957400205114273,0.00018686746879283822,rmsprop,COMPLETE
4,0.646484375,2025-05-14 22:38:06.240502,2025-05-14 23:23:09.838392,0 days 00:45:03.597890,0.09165989357636636,5,0.15047849438190825,0.09440270856368464,2048,0.6500178214594668,0.0002729522874535777,adam,COMPLETE
