class,accuracy,precision,recall,specificity,f0,f1,f2,kappa,mcc
Mild Impairment,0.8750,0.7169,0.8262,0.8913,0.7364,0.7677,0.8017,0.6828,0.6860
Moderate Impairment,0.9893,0.9880,0.9688,0.9961,0.9841,0.9783,0.9725,0.9712,0.9712
No Impairment,0.7358,0.4657,0.3848,0.8529,0.4469,0.4214,0.3986,0.2522,0.2542
Very Mild Impairment,0.6851,0.3752,0.3906,0.7832,0.3782,0.3828,0.3874,0.1715,0.1715
