class,accuracy,precision,recall,specificity,f0,f1,f2,kappa,mcc
Mild Impairment,0.9014,0.7618,0.8809,0.9082,0.7830,0.8170,0.8542,0.7500,0.7537
Moderate Impairment,0.9937,0.9941,0.9805,0.9980,0.9913,0.9872,0.9832,0.9830,0.9830
No Impairment,0.7383,0.4772,0.4902,0.8210,0.4797,0.4836,0.4876,0.3084,0.3084
Very Mild Impairment,0.6938,0.3647,0.3027,0.8242,0.3504,0.3308,0.3134,0.1346,0.1356
