number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_gamma,params_kernel,state
0,0.6558826141963916,2025-05-16 05:52:11.029489,2025-05-16 05:54:27.523205,0 days 00:02:16.493716,0.15408503731768092,0.7691894449537594,5.0,auto,poly,COMPLETE
1,0.6147902940665015,2025-05-16 05:54:27.525685,2025-05-16 05:58:23.839045,0 days 00:03:56.313360,0.8388129765784264,,,,linear,COMPLETE
2,0.4787877182445822,2025-05-16 05:58:23.840876,2025-05-16 06:03:46.621411,0 days 00:05:22.780535,0.2547332860019888,,,scale,sigmoid,COMPLETE
3,0.6094418349713706,2025-05-16 06:03:46.623326,2025-05-16 06:15:41.574413,0 days 00:11:54.951087,4.303553594192744,,,,linear,COMPLETE
4,0.653205298488695,2025-05-16 06:15:41.576282,2025-05-16 06:18:08.687770,0 days 00:02:27.111488,3.7273379403895275,0.48429214950788346,4.0,auto,poly,COMPLETE
