accuracy,precision,recall,f1,f2,f0,specificity,mcc,kappa,model
0.6768,0.6873,0.6768,0.6798,0.6774,0.6838,0.8923,0.5709,0.5690,DenseNet201 (Optimized)
0.6709,0.6502,0.6709,0.6556,0.6636,0.6511,0.8903,0.5647,0.5612,DenseNet201 + Gradient Boosting
0.6616,0.6371,0.6616,0.6452,0.6541,0.6393,0.8872,0.5518,0.5488,DenseNet201 + XGBoost
0.6787,0.6575,0.6787,0.6632,0.6714,0.6585,0.8929,0.5751,0.5716,DenseNet201 + LightGBM
0.6382,0.6158,0.6382,0.6235,0.6315,0.6180,0.8794,0.5200,0.5176,DenseNet201 + CatBoost
0.5054,0.5164,0.5054,0.5038,0.5029,0.5098,0.8351,0.3435,0.3405,DenseNet201 + AdaBoost
