class,accuracy,precision,recall,specificity,f0,f1,f2,kappa,mcc
Mild Impairment,0.8989,0.7424,0.9121,0.8945,0.7711,0.8186,0.8722,0.7495,0.7572
Moderate Impairment,0.9902,0.9805,0.9805,0.9935,0.9805,0.9805,0.9805,0.9740,0.9740
No Impairment,0.7529,0.5055,0.5391,0.8242,0.5119,0.5217,0.5320,0.3554,0.3557
Very Mild Impairment,0.7153,0.4017,0.2832,0.8594,0.3707,0.3322,0.3010,0.1581,0.1620
