class,accuracy,precision,recall,specificity,f0,f1,f2,kappa,mcc
Mild Impairment,0.9111,0.8300,0.8105,0.9447,0.8260,0.8202,0.8144,0.7612,0.7612
Moderate Impairment,0.9854,0.9839,0.9570,0.9948,0.9784,0.9703,0.9623,0.9606,0.9607
No Impairment,0.7573,0.5176,0.4297,0.8665,0.4973,0.4696,0.4448,0.3140,0.3163
Very Mild Impairment,0.6997,0.4176,0.5098,0.7630,0.4333,0.4591,0.4882,0.2541,0.2565
