Model,ROC AUC
DenseNet201 (Optimized),0.9103
DenseNet201 + LightGBM,0.9100
DenseNet201 + Gradient Boosting,0.9041
DenseNet201 + XGBoost,0.9001
DenseNet201 + CatBoost,0.8874
DenseNet201 + AdaBoost,0.7832
